site,x,y,SOM,MAOM,POM.AGG,SoilTMP-C,SoilMoi-m3m3,NPP.gC.m2.d,qmax.gC.m2,pH_CaCl2,BD.mg.cm3,depth
NSW003239,151.777335,-30.031893,4096.8925063,3252.2834625,844.6090438,12.7,0.38,1.81,10497.9992978752,4.83743635,1337.57028,0.3
QLDC000254,151.782629,-27.942256,4282.86231449,3466.2410899,816.62122459,19.8,0.21,1.38,9168.23613295636,5.83023197,1399.0645,0.3
NSW000895,151.786295,-29.935622,3805.63870731,2851.4484591,954.19024821,12.7,0.38,1.57,9997.65778012633,4.93219959,1431.41785,0.3
NSW000992,151.786956,-29.934906,3662.97459234,2838.5726053,824.40198704,12.7,0.38,1.57,9832.59118961945,5.02575926,1442.26969,0.3
QLDC000624,151.795354,-27.326688,3525.24759483,2995.079209,530.16838583,21,0.28,1.03,8761.42144707419,5.8214756,1365.19062,0.3
NSW003200,151.800978,-30.837093,3106.4427858,1815.8416923,1290.6010935,13.5,0.31,1.37,9036.55430923976,4.87162395,1428.47559,0.3
NSW003627,151.816788,-29.720166,2716.72112447,1906.2698125,810.45131197,13.3,0.28,1.48,8602.49339028396,4.89785059,1408.43909,0.3
QLDC001462,151.823361,-26.420278,4381.62863709,3758.1736959,623.45494119,20.3,0.26,1.42,11712.0053241505,6.10953523,1300.33502,0.3
QLDC001459,151.825139,-26.442083,4675.09571675,3995.2436331,679.85208365,20.3,0.26,1.44,11246.8848302845,6.21420895,1241.63303,0.3
NSW003335,151.836894,-30.536755,2638.5893238,1646.5523722,992.0369516,14.2,0.29,1.75,8974.13385953771,5.00713852,1427.97968,0.3
NSW003062,151.846461,-30.311298,4199.2223428,2997.4817611,1201.7405817,13,0.36,1.43,9099.93300216166,4.9900528,1380.46333,0.3
NSW003188,151.848328,-30.310818,4442.0407647,3006.987273,1435.0534917,13,0.36,1.77,9009.59599124203,4.86495115,1346.74309,0.3
NSW003624,151.857602,-29.681955,2470.35661823,1958.3976935,511.95892473,13.3,0.28,1.58,9176.05451657383,5.14853583,1390.34088,0.3
NSW003314,151.865195,-30.518778,2907.10566789,1971.7949867,935.31068119,14.2,0.29,1.44,9124.23012570866,4.94001392,1409.53983,0.3
NSW003341,151.865796,-30.518242,3231.0051174,1973.3025774,1257.70254,14.2,0.29,1.36,9171.03493424377,5.08617484,1362.76987,0.3
NSW003080,151.866509,-30.811129,3973.8082115,2809.3300561,1164.4781554,13.8,0.31,1.62,9049.16355596411,4.75508651,1371.68999,0.3
NSW003086,151.876036,-30.610915,3642.3532396,2610.3393697,1032.0138699,14.6,0.29,1.65,8573.4123710351,4.89124285,1416.99286,0.3
NSW003206,151.877188,-30.612279,3622.1223765,2363.822839,1258.2995375,14.6,0.29,1.56,8619.84406477965,4.86326006,1424.64397,0.3
NSW003606,151.878291,-30.534609,2452.01694919,1743.2148168,708.80213239,14.2,0.29,1.29,8828.83678386031,5.07135389,1420.43631,0.3
QLDC001456,151.883139,-26.526417,4640.41464359,4074.851486,565.56315759,19.7,0.27,1.31,11651.9288658003,5.91777437,1270.53339,0.3
DECCW1013,151.887358,-31.604166,4753.3711029,3024.3780561,1728.9930468,15.3,0.31,1.41,6750.72997651407,5.30368742,1326.19832,0.3
NSW003107,151.901166,-30.413524,3255.94939476,2566.0370907,689.91230406,14.2,0.29,1.46,9146.06448867757,5.07997886,1406.61046,0.3
NSW003095,151.902597,-29.395423,3329.3933796,2135.5479862,1193.8453934,15.8,0.21,1.34,9112.81274421505,5.0720462,1421.51429,0.3
