site,x,y,SOM,MAOM,POM.AGG,SoilTMP-C,SoilMoi-m3,NPP.gC.m2,qmax.gC.m2,pH-CaCl2,BD.mg.cm3,depth,REC-ID
GA790,131.2238,-24.5338,1292.48870355,1102.0691235,190.41958005,26.2,0.1,0.18,5143.4240168406,5.43449959,1530.47238,0.3,37
GA_bot473,132.272,-22.912,995.90395301,818.62351779,177.28043522,27,0.1,0.21,6071.85637385708,5.64381026,1550.9296,0.3,37
GA_bot706,132.603,-22.806,1094.27344509,959.77718624,134.49625885,26.8,0.13,0.41,5715.86177385327,5.81189691,1560.68367,0.3,37
GA_bot704,132.938,-23.083,772.30640737,679.15155424,93.15485313,26.8,0.11,0.36,5706.31487698111,5.52423643,1560.14636,0.3,37
GA1035,136.31946,-15.89515,1726.71105786,1430.2018846,296.50917326,28.5,0.14,0.81,4551.52065143484,5.30863419,1528.53057,0.3,38
GA_bot389,137.088,-16.27,1787.14616723,1538.933002,248.21316523,28.1,0.15,1.37,5806.27707159744,5.19843955,1460.39841,0.3,38
GA_bot514,138.086,-16.773,2564.71583586,2256.9462045,307.76963136,27.8,0.19,1.14,6500.18187343888,5.08452471,1481.48264,0.3,39
GA_bot632,138.152,-16.886,2249.33530769,1989.6166814,259.71862629,28.2,0.18,1.29,6094.74226434891,5.11333667,1491.55722,0.3,39
GA_bot241,138.31098,-16.98818,3061.51679296,2320.2641017,741.25269126,28.2,0.18,0.98,6070.38766308809,5.05639818,1351.99965,0.3,39
GA1073,138.47875,-17.16262,2248.55061393,1885.5464339,363.00418003,28.4,0.19,1.04,5992.61046250763,5.05079023,1548.93502,0.3,39
GA_bot595,138.678,-17.235,2064.56069936,1778.6603028,285.90039656,28.3,0.19,0.8,6071.28639396175,5.04662286,1486.04863,0.3,39
GA_bot520,138.856,-18.045,1794.88490641,1513.0018026,281.88310381,29.2,0.22,0.93,5325.71245297978,5.49855776,1489.89302,0.3,39
GA_bot628,138.857,-18.046,1784.33141821,1494.5445226,289.78689561,29.2,0.22,0.93,5799.65846688599,5.5638497,1505.53212,0.3,39
GA_bot232,139.14051,-17.9361,1835.62387307,1632.678995,202.94487807,29,0.18,0.57,7278.97401984005,5.44356187,1498.02962,0.3,39
GA_bot245,139.1817,-17.63638,1705.1337864,1486.007888,219.1258984,29.2,0.19,1.05,6150.63932299798,5.24626793,1515.2804,0.3,39
GA779,139.55997,-17.76577,1928.83349319,1641.3054293,287.52806389,29.2,0.3,0.94,6311.1169537553,5.64505913,1466.5367,0.3,39
